,,,,,,,,,,,,,
,,,,,,,,,,,,,
Victoire,,,,Egalité,,,,Defeat,,,,,resultat 
Cote,Probabilité,Gain,,Cote,Probabilité,Gain,,Cote,Probabilité,Gain,,,
1.75,0.5,0.875,,3.95,0.28,1.106,,5.1,0.22,1.122,,,0
7.5,0.14,1.05,,5.15,0.2,1.03,,1.43,0.65,0.9295,,,1
3.35,0.37,1.2395,,3.35,0.3,1.005,,2.38,0.32,0.7616,,,1
2.82,0.33,0.9306,,3.2,0.31,0.992,,2.85,0.36,1.026,,,0
,0.55,0,,,0.25,0,,,0.2,0,,,0
2.11,0.47,0.9917,,3.65,0.26,0.949,,4.3,0.28,1.204,,,0
2.32,0.43,0.9976,,3.4,0.3,1.02,,3.6,0.27,0.972,,,0
2.7,0.37,0.999,,3.2,0.29,0.928,,2.85,0.34,0.969,,,0
2.55,0.38,0.969,,3.4,0.29,0.986,,2.9,0.34,0.986,,,0
6.5,0.2,1.3,,4.2,0.25,1.05,,1.62,0.65,1.053,,,0
3.2,0.36,1.152,,3.5,0.29,1.015,,2.85,0.35,0.9975,,,0
2.92,0.47,1.3724,,3.5,0.27,0.945,,2.88,0.26,0.7488,,,0
5.3,0.35,1.855,,4.5,0.28,1.26,,2.32,0.37,0.8584,,,1
2.5,0.51,1.275,,3.9,0.25,0.975,,2.85,0.23,0.6555,,,0
6.2,0.34,2.108,,4.6,0.29,1.334,,1.61,0.37,0.5957,,,1
3.01,0.27,0.8127,,3.15,0.3,0.945,,2.75,0.43,1.1825,,,0
3.2,0.46,1.472,,3.3,0.28,0.924,,2.45,0.26,0.637,,,0
18,0.08,1.44,,8.75,0.15,1.3125,,1.22,0.77,0.9394,,,0
4.15,0.38,1.577,,4,0.27,1.08,,1.85,0.35,0.6475,,,0
2.32,0.48,1.1136,,3.5,0.28,0.98,,3.68,0.24,0.8832,,,0
3.75,0.25,0.9375,,3.3,0.28,0.924,,2.27,0.47,1.0669,,,1
3.95,0.28,1.106,,3.4,0.28,0.952,,2.1,0.44,0.924,,,0
2.75,0.39,1.0725,,3.4,0.27,0.918,,2.7,0.34,0.918,,,0
1.65,0.49,0.8085,,3.95,0.28,1.106,,5.6,0.23,1.288,,,1
2.85,0.41,1.1685,,3.15,0.28,0.882,,2.5,0.3,0.75,,,1
4.8,0.16,0.768,,4.2,0.21,0.882,,1.72,0.64,1.1008,,,1
1.95,0.51,0.9945,,3.6,0.25,0.9,,3.9,0.25,0.975,,,0
2.21,0.51,1.1271,,3.4,0.27,0.918,,4.4,0.22,0.968,,,1
3.19,0.31,0.9889,,3.2,0.31,0.992,,2.72,0.38,1.0336,,,0
3.15,0.34,1.071,,3.45,0.3,1.035,,2.7,0.37,0.999,,,1
1.96,0.47,0.9212,,3.6,0.3,1.08,,4.4,0.23,1.012,,,0
4.2,0.32,1.344,,3.9,0.29,1.131,,1.92,0.4,0.768,,,0
1.72,0.55,0.946,,3.95,0.25,0.9875,,5.3,0.2,1.06,,,1
1.8,0.47,0.846,,3.9,0.27,1.053,,5.2,0.26,1.352,,,0
2,0.47,0.94,,3.5,0.3,1.05,,4.4,0.24,1.056,,,0
3.75,0.3,1.125,,3.7,0.28,1.036,,2.13,0.42,0.8946,,,1
2.2,0.4,0.88,,3.45,0.3,1.035,,3.75,0.3,1.125,,,0
4.8,0.24,1.152,,3.6,0.3,,,1.9,0.46,0.874,,,0
