,,,,,,,,,,,,,
,,,,,,,,,,,,,
Victoire,,,,Egalit�,,,,Defeat,,,,,resultat
Cote,Probabilit�,Gain,,Cote,Probabilit�,Gain,,Cote,Probabilit�,Gain,,,
3.25,0.42,1.365,,3.2,0.28,0.896,,2.5,0.3,0.75,,,0
2.26,0.37,0.8362,,3.35,0.3,1.005,,3.85,0.34,1.309,,,1
3.9,0.29,1.131,,3.4,0.29,0.986,,2.15,0.42,0.903,,,0
,0.48,0,,,0.28,0,,,0.24,0,,,0
,0,,,,0,,,0,0,,,,0
4,0.27,1.08,,3.32,0.28,0.9296,,2.25,0.44,0.99,,,0
5,0.25,1.25,,3.8,0.26,0.988,,1.88,0.49,0.9212,,,0
3.1,0.29,0.899,,3.6,0.28,1.008,,2.39,0.43,1.0277,,,0
2.8,0.24,0.672,,3.25,0.3,0.975,,2.95,0.46,1.357,,,0
2.67,0.28,0.7476,,3.15,0.27,0.8505,,3.1,0.45,1.395,,,1
4.4,0.22,0.968,,3.4,0.27,0.918,,2.21,0.51,1.1271,,,1
3.25,0.3,0.975,,3.2,0.28,0.896,,2.32,0.43,0.9976,,,0
3.25,0.26,0.845,,3.35,0.29,0.9715,,2.22,0.45,0.999,,,0
1.9,0.4,0.76,,3.45,0.3,1.035,,4.3,0.3,1.29,,,0
3.05,0.26,0.793,,3.4,0.29,0.986,,2.37,0.46,1.0902,,,0
2.15,0.36,0.774,,3.3,0.31,1.023,,3.6,0.32,1.152,,,1
9,0.07,0.63,,5.6,0.11,0.616,,1.36,0.82,1.1152,,,1
1.5,0.5,0.75,,4.8,0.26,1.248,,8.2,0.24,1.968,,,0
3.2,0.34,1.088,,3.4,0.29,0.986,,2.45,0.38,0.931,,,1
2.2,0.44,0.968,,3.25,0.29,0.9425,,3.7,0.27,0.999,,,0
2.15,0.39,0.8385,,3.5,0.29,1.015,,4,0.32,1.28,,,0
2.15,0.37,0.7955,,3.25,0.3,0.975,,4,0.33,1.32,,,1
2.15,0.45,0.9675,,3.95,0.28,1.106,,4.9,0.27,1.323,,,0
,0.13,0,,,0.2,0,,,0.67,0,,,0
2.75,0.26,0.715,,3,0.31,0.93,,3.1,0.43,1.333,,,0
2.36,0.41,0.9676,,3.2,0.3,0.96,,3.6,0.29,1.044,,,0
6.55,0.16,1.048,,3.8,0.23,0.874,,1.77,0.61,1.0797,,,0
4.5,0.28,1.26,,3.95,0.26,1.027,,1.88,0.46,0.8648,,,1
3.85,0.3,1.155,,3.35,0.31,1.0385,,2.17,0.39,0.8463,,,0
2.85,0.41,1.1685,,3.3,0.29,0.957,,2.87,0.3,0.861,,,0
2.7,0.32,0.864,,3.15,0.31,0.9765,,2.9,0.37,1.073,,,0
5,0.12,0.6,,4.1,0.18,0.738,,1.7,0.7,1.19,,,1
2.15,0.41,0.8815,,3.55,0.28,0.994,,3.75,0.32,1.2,,,0
2.25,0.45,1.0125,,3.45,0.3,1.035,,4.25,0.26,1.105,,,1
4.75,0.22,1.045,,3.9,0.27,1.053,,1.88,0.51,0.9588,,,1
2.32,0.37,0.8584,,4.5,0.28,1.26,,5.3,0.35,1.855,,,1
2.3,0.28,0.644,,3.6,0.29,1.044,,3.45,0.43,1.4835,,,0
2.95,0.46,1.357,,2.35,0.27,0.6345,,4.4,0.26,1.144,,,0
