,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2.12,0.55,1.166,,3.4,0.27,0.918,,4.1,0.18,0.738,,,1
3.85,0.34,1.309,,3.5,0.3,1.05,,2.26,0.37,0.8362,,,1
3.75,0.3,1.125,,3.45,0.3,1.035,,2.2,0.4,0.88,,,0
10,0.15,1.5,,5.9,0.21,1.239,,1.35,0.24,0.324,,,0
3.9,0.3,1.17,,3.4,0.3,1.02,,2.16,0.39,0.8424,,,0
2.4,0.46,1.104,,3.35,0.3,1.005,,3.45,0.23,0.7935,,,1
2.62,0.34,0.8908,,3.35,0.29,0.9715,,2.97,0.37,1.0989,,,0
4.25,0.33,1.4025,,3.68,0.29,1.0672,,1.99,0.38,0.7562,,,0
3.2,0.34,1.088,,3.5,0.3,1.05,,2.48,0.36,0.8928,,,1
0,0.46,0,,,0.27,0,,0,0.26,0,,,0
1.81,0.56,1.0136,,4,0.25,1,,4.55,0.19,0.8645,,,0
3.05,0.3,0.915,,3.4,0.3,1.02,,2.42,0.39,0.9438,,,1
3.15,0.37,1.1655,,3.12,0.31,0.9672,,2.25,0.33,0.7425,,,0
1.88,0.4,0.752,,3.8,0.28,1.064,,4.1,0.33,1.353,,,0
6.2,0.24,1.488,,4.6,0.25,1.15,,1.52,0.52,0.7904,,,0
1.98,0.54,1.0692,,3.65,0.26,0.949,,4.35,0.2,0.87,,,0
3.1,0.33,1.023,,3.65,0.29,1.0585,,2.43,0.27,0.6561,,,0
2.8,0.29,0.812,,3.2,0.31,0.992,,2.92,0.4,1.168,,,0
0,0.37,0,,,0.3,0,,0,0.33,0,,,0
3.95,0.31,1.2245,,3.55,0.29,1.0295,,2.22,0.4,0.888,,,1
2.44,0.44,1.0736,,3.5,0.29,1.015,,3.15,0.27,0.8505,,,0
6.75,0.2,1.35,,4.8,0.25,1.2,,1.5,0.55,0.825,,,0
3,0.35,1.05,,3.25,0.31,1.0075,,2.7,0.34,0.918,,,1
11.5,0.07,0.805,,6.75,0.12,0.81,,1.34,0.81,1.0854,,,1
3.55,0.24,0.852,,3.5,0.28,0.98,,2.52,0.48,1.2096,,,1
2.25,0.36,0.81,,3.3,0.3,0.99,,3.8,0.33,1.254,,,1
5.1,0.24,1.224,,3.55,0.29,1.0295,,1.88,0.47,0.8836,,,1
1.9,0.46,0.874,,3.59,0.27,0.9693,,4.9,0.26,1.274,,,0
3.15,0.38,1.197,,3.4,0.28,0.952,,2.5,0.34,0.85,,,0
3.35,0.3,1.005,,3.4,0.28,0.952,,2.47,0.42,1.0374,,,0
3.15,0.33,1.0395,,3.25,0.3,0.975,,2.5,0.37,0.925,,,1
2.15,0.36,0.774,,3.3,0.31,1.023,,3.8,0.33,1.254,,,0
1.9,0.49,0.931,,3.9,0.26,1.014,,4.7,0.25,1.175,,,1
2.85,0.35,0.9975,,3.5,0.29,1.015,,3.2,0.36,1.152,,,0
8.5,0.15,1.275,,4.75,0.23,1.0925,,1.45,0.62,0.899,,,0
2.5,0.45,1.125,,3.5,0.28,0.98,,3.62,0.26,0.9412,,,1
3.45,0.43,1.4835,,3.6,0.29,1.044,,2.3,0.28,0.644,,,0
13,0.13,1.69,,8.2,0.19,1.558,,1.23,0.68,0.8364,,,1
