,,,,,
,,,,,
,ELO 1,ELO 2 ,?ELO,abs(?ELO),Egalite
,,,,305,0
,,,,104,1
,,,,235,0
,,,,188,0
,,,,14,0
,,,,54,1
,,,,91,0
,,,,151,0
,,,,84,1
,,,,201,0
,,,,315,0
,,,,119,0
,,,,232,1
,,,,198,0
,,,,139,0
,,,,59,0
,,,,30,0
,,,,121,1
,,,,2,0
,,,,99,0
,,,,210,1
,,,,71,0
,,,,47,0
,,,,8,0
,,,,83,0
,,,,112,0
,,,,129,0
,,,,263,0
,,,,57,0
,,,,150,0
,,,,36,1
,,,,16,1
,,,,220,0
,,,,171,0
,,,,7,1
,,,,37,0
,,,,2,0
,,,,124,1
,,,,168,0
,,,,125,0
,,,,6,0
,,,,76,0
,,,,93,0
,,,,61,1
,,,,45,0
,,,,13,0
,,,,77,0
,,,,315,0
,,,,213,0
,,,,126,1
,,,,86,0
,,,,129,0
,,,,212,0
,,,,268,0
,,,,66,0
,,,,12,0
,,,,345,0
,,,,183,0
,,,,120,0
,,,,85,1
,,,,24,1
,,,,36,1
,,,,106,0
,,,,23,0
,,,,165,0
,,,,169,1
,,,,214,0
,,,,2,1
,,,,105,0
,,,,26,0
,,,,104,0
,,,,284,0
,,,,67,1
,,,,267,0
,,,,13,1
,,,,137,0
,,,,39,1
,,,,19,1
,,,,28,0
,,,,4,0
,,,,7,0
,,,,6,0
,,,,214,0
,,,,186,0
,,,,133,1
,,,,139,0
,,,,79,0
,,,,68,0
,,,,280,0
,,,,44,0
,,,,19,1
,,,,80,1
,,,,119,0
,,,,55,0
,,,,29,0
,,,,93,0
,,,,35,1
,,,,391,0
,,,,36,0
,,,,14,1
,,,,78,1
,,,,22,1
,,,,68,0
,,,,122,0
,,,,67,0
,,,,119,1
,,,,72,0
,,,,279,0
,,,,133,0
,,,,192,0
,,,,71,0
,,,,77,0
,,,,24,0
,,,,20,0
,,,,149,1
,,,,86,0
,,,,109,0
,,,,88,1
,,,,204,1
,,,,21,1
,,,,163,0
,,,,34,1
,,,,2,1
,,,,35,0
,,,,370,0
,,,,18,0
,,,,104,0
,,,,35,0
,,,,278,0
,,,,24,0
,,,,203,0
,,,,1,0
,,,,50,0
,,,,73,0
,,,,117,0
,,,,3,1
