,Home,Away
Angers,1588.32244351,1548.83882437
Bordeaux,1556.18557372,1569.33004901
Brest,1566.02319452,1489.32675058
Dijon,1552.69299181,1448.10369099
Lens,1528.53161621,1494.53161621
Lille,1713.80309381,1629.42009067
Lorient,1527.06286621,1493.06286621
Lyon,1702.64717465,1697.59618298
Marseille,1655.77538671,1667.82648223
Metz,1546.95710347,1544.98291148
Monaco,1595.06048994,1534.4288012
Montpellier,1667.53468074,1548.08227047
Nantes,1567.50699264,1565.62469091
Nice,1641.97123913,1579.71312212
Nimes,1565.52959046,1519.24847823
PSG,1840.4289492,1828.75575748
Reims,1617.0828147,1594.55925124
Rennes,1673.53392181,1628.61412825
SaintEtienne,1632.36266734,1583.09802432
Strasbourg,1600.04924945,1541.82412424
