,Home,Away
Angers,1551.57624709,1554.31457561
Bordeaux,1558.92412995,1540.74233828
Brest,1578.37929755,1470.14520193
Clermont,1502.49084473,1502.49084473
Lens,1569.6618487,1558.90991387
Lille,1718.21403529,1728.48837488
Lorient,1584.28178982,1460.99681129
Lyon,1694.88486353,1744.25097715
Marseille,1673.71512038,1631.66145013
Metz,1521.96518873,1582.32996543
Monaco,1670.10364762,1617.88678671
Montpellier,1618.25928536,1596.61238931
Nantes,1529.28172782,1576.91205033
Nice,1602.87691653,1597.6725995
PSG,1805.23791407,1825.84746556
Reims,1577.16105711,1587.12193702
Rennes,1659.81610418,1621.46743658
SaintEtienne,1582.89047297,1591.4603299
Strasbourg,1543.01621298,1570.01260553
Troyes,1498.68603516,1498.68603516
