,Home,Away
Arsenal,1943.34375,1875.34375
AstonVilla,1671.04919434,1603.04919434
Bournemouth,1762.734375,1694.734375
Brighton,1705.30187988,1637.30187988
Burnley,1758.11560059,1690.11560059
Chelsea,1931.2467041,1863.2467041
CrystalPalace,1800.35095215,1732.35095215
Everton,1842.99841309,1774.99841309
Leicester,1809.69470215,1741.69470215
Liverpool,2114.87768555,2046.87768555
ManchesterCity,2106.13916016,2038.13916016
ManchesterUnited,1919.85791016,1851.85791016
Newcastle,1766.20910645,1698.20910645
Norwich,1709.99108887,1641.99108887
Sheffield,1701.31054688,1633.31054688
Southampton,1729.4855957,1661.4855957
Tottenham,1967.04968262,1899.04968262
Watford,1729.55688477,1661.55688477
WestHam,1791.04650879,1723.04650879
Wolverhampton,1793.00292969,1725.00292969
