,Home,Away
Barcelona,2066.46252441,1985.46252441
AthMadrid,1960.65307617,1879.65307617
RealMadrid,1928.3770752,1847.3770752
Valencia,1887.20141602,1806.20141602
Sevilla,1840.98352051,1759.98352051
Getafe,1836.13134766,1755.13134766
AthBilbao,1813.69506836,1732.69506836
Espanol,1808.58874512,1727.58874512
Villarreal,1805.86804199,1724.86804199
Sociedad,1802.69580078,1721.69580078
Eibar,1781.65234375,1700.65234375
Alaves,1768.16186523,1687.16186523
Levante,1758.58447266,1677.58447266
Betis,1753.36560059,1672.36560059
Celta,1751.57617188,1670.57617188
Leganes,1738.38671875,1657.38671875
Osasuna,1731.65905762,1650.65905762
Valladolid,1707.95507812,1626.95507812
Granada,1684.10876465,1603.10876465
Mallorca,1655.69274902,1574.69274902
