,home,away
Alaves,1738.90941,1640.66066
AthMadrid,1984.55126,1896.32965
Barcelona,2009.57570,1955.69086
Betis,1798.24714,1700.14186
AthBilbao,1786.60013,1713.23235
Celta,1745.42631,1713.65833
Eibar,1682.28318,1672.35201
Cadiz,1634.05307,1628.34035
Getafe,1761.81566,1702.79087
Leganes,1706.94935,1672.23366
Levante,1752.00039,1668.46064
Elche,1658.79885,1559.17285
Osasuna,1736.23239,1701.35711
RealMadrid,1964.25631,1934.78527
Sevilla,1884.34153,1840.57371
Sociedad,1803.36451,1772.94230
Valencia,1866.93501,1673.00747
Huesca,1675.82616,1590.09511
Villarreal,1787.30081,1785.42955
Valladolid,1672.41799,1652.95145
Granada,1743.95694,1651.65545
Espanol,1698.35167,1626.73178
Mallorca,1686.92956,1630.63355
Vallecano,1616.64563,1591.06853
