Reims,PSG,2,2,,,,13,5.4,1.45,2,,,9.68,4.72,1.35,,,,,,,,,,,,,,,08/08/14
Bastia,Marseille,3,3,,,,4.25,3.45,2.12,2,,,3.73,3.25,2.04,,,,,,,,,,,,,,,09/08/14
ETG,Caen,0,3,,,,2.5,3.4,3.3,3,,,2.37,3.15,3.05,,,,,,,,,,,,,,,09/08/14
Guingamp,SaintEtienne,0,2,,,,3.4,3.3,2.5,3,,,3.19,3.09,2.35,,,,,,,,,,,,,,,09/08/14
Lille,Metz,0,0,,,,1.56,4.2,8,2,,,1.51,3.9,6.94,,,,,,,,,,,,,,,09/08/14
Montpellier,Bordeaux,0,1,,,,2.56,3.22,3.3,3,,,2.39,3.08,3.12,,,,,,,,,,,,,,,09/08/14
Nantes,Lens,1,0,,,,2.05,3.4,4.4,1,,,2.01,3.25,3.88,,,,,,,,,,,,,,,09/08/14
Nice,Toulouse,3,2,,,,2.85,3.2,3,1,,,2.67,3.03,2.79,,,,,,,,,,,,,,,09/08/14
Lyon,Rennes,2,0,,,,1.91,3.55,4.95,1,,,1.84,3.38,4.49,,,,,,,,,,,,,,,10/08/14
Monaco,Lorient,1,2,,,,1.45,4.8,10,3,,,1.4,4.35,8.41,,,,,,,,,,,,,,,10/08/14
Caen,Lille,0,1,,,,4.1,3.37,2.4,3,,,3.68,3.2,2.11,,,,,,,,,,,,,,,15/08/14
Lens,Guingamp,0,1,,,,2.94,3.2,3.1,3,,,2.77,3.05,2.7,,,,,,,,,,,,,,,16/08/14
Lorient,Nice,0,0,,,,1.9,3.6,5.6,2,,,1.77,3.4,4.86,,,,,,,,,,,,,,,16/08/14
Metz,Nantes,1,1,,,,2.5,3.35,3.5,2,,,2.38,3.06,3.18,,,,,,,,,,,,,,,16/08/14
PSG,Bastia,2,0,,,,1.19,9.2,23,1,,,1.15,7.78,17.42,,,,,,,,,,,,,,,16/08/14
Rennes,ETG,6,2,,,,1.8,3.7,5.4,1,,,1.76,3.45,4.85,,,,,,,,,,,,,,,16/08/14
Toulouse,Lyon,2,1,,,,2.6,3.35,3.2,1,,,2.48,3.18,2.92,,,,,,,,,,,,,,,16/08/14
Bordeaux,Monaco,4,1,,,,3.15,3.3,2.61,1,,,2.88,3.15,2.52,,,,,,,,,,,,,,,17/08/14
Marseille,Montpellier,0,2,,,,1.65,4,6.9,3,,,1.58,3.73,6.15,,,,,,,,,,,,,,,17/08/14
SaintEtienne,Reims,3,1,,,,1.6,4.2,8,1,,,1.51,3.87,7.15,,,,,,,,,,,,,,,17/08/14
ETG,PSG,0,0,,,,10.5,5.3,1.45,2,,,8.98,4.79,1.36,,,,,,,,,,,,,,,22/08/14
Bastia,Toulouse,1,0,,,,2.92,3.35,2.8,1,,,2.76,3.17,2.61,,,,,,,,,,,,,,,23/08/14
Guingamp,Marseille,0,1,,,,3.3,3.3,2.64,3,,,2.96,3.12,2.5,,,,,,,,,,,,,,,23/08/14
Lille,Lorient,2,0,,,,1.85,3.65,5.7,1,,,1.77,3.39,5.01,,,,,,,,,,,,,,,23/08/14
Montpellier,Metz,2,0,,,,1.96,3.52,5.2,1,,,1.87,3.32,4.49,,,,,,,,,,,,,,,23/08/14
Nice,Bordeaux,1,3,,,,3.45,3.3,2.6,3,,,3.18,3.14,2.35,,,,,,,,,,,,,,,23/08/14
Reims,Caen,0,2,,,,2.56,3.35,3.17,3,,,2.41,3.18,3.02,,,,,,,,,,,,,,,23/08/14
Lyon,Lens,0,1,,,,1.55,4.4,8,3,,,1.51,3.99,6.89,,,,,,,,,,,,,,,24/08/14
Nantes,Monaco,0,1,,,,3.75,3.32,2.3,3,,,3.43,3.19,2.2,,,,,,,,,,,,,,,24/08/14
SaintEtienne,Rennes,0,0,,,,1.8,3.7,6.01,2,,,1.72,3.45,5.24,,,,,,,,,,,,,,,24/08/14
Marseille,Nice,4,0,,,,1.55,4.2,8,1,,,1.51,3.96,6.95,,,,,,,,,,,,,,,29/08/14
Caen,Rennes,0,1,,,,2.8,3.2,2.96,3,,,2.65,3.08,2.79,,,,,,,,,,,,,,,30/08/14
Lens,Reims,4,2,,,,2.21,3.4,4,1,,,2.11,3.23,3.61,,,,,,,,,,,,,,,30/08/14
Lorient,Guingamp,4,0,,,,2.21,3.3,4.1,1,,,2.12,3.14,3.69,,,,,,,,,,,,,,,30/08/14
Monaco,Lille,1,1,,,,2.06,3.5,4.61,2,,,1.96,3.23,4.15,,,,,,,,,,,,,,,30/08/14
Nantes,Montpellier,1,0,,,,2.36,3.3,3.8,1,,,2.25,3.09,3.39,,,,,,,,,,,,,,,30/08/14
Toulouse,ETG,1,0,,,,1.84,3.65,5.3,1,,,1.76,3.48,4.8,,,,,,,,,,,,,,,30/08/14
Bordeaux,Bastia,1,1,,,,1.68,4.05,7.2,2,,,1.6,3.66,5.99,,,,,,,,,,,,,,,31/08/14
Metz,Lyon,2,1,,,,2.98,3.25,2.77,1,,,2.8,3.07,2.6,,,,,,,,,,,,,,,31/08/14
PSG,SaintEtienne,5,0,,,,1.56,4.33,8,1,,,1.5,3.99,6.88,,,,,,,,,,,,,,,31/08/14
Lyon,Monaco,2,1,,,,2.68,3.2,3.15,1,,,2.52,3.1,2.96,,,,,,,,,,,,,,,12/09/14
Bastia,Lens,1,1,,,,2.15,3.4,4.33,2,,,2.02,3.26,3.88,,,,,,,,,,,,,,,13/09/14
Montpellier,Lorient,1,0,,,,2.25,3.3,4.25,1,,,2.09,3.14,3.75,,,,,,,,,,,,,,,13/09/14
Nice,Metz,1,0,,,,2.38,3.2,3.79,1,,,2.24,3.07,3.47,,,,,,,,,,,,,,,13/09/14
Reims,Toulouse,2,0,,,,3.2,3.3,2.63,1,,,2.94,3.14,2.49,,,,,,,,,,,,,,,13/09/14
Rennes,PSG,1,1,,,,7.65,4.43,1.53,2,,,6.96,4.15,1.48,,,,,,,,,,,,,,,13/09/14
SaintEtienne,Caen,1,0,,,,1.74,3.8,6.1,1,,,1.66,3.66,5.44,,,,,,,,,,,,,,,13/09/14
ETG,Marseille,1,3,,,,3.8,3.35,2.26,3,,,3.5,3.22,2.16,,,,,,,,,,,,,,,14/09/14
