AjaccioGFCO,Valenciennes,2,0,H,,,2.6,3.2,3.55,1,,,,,,,,01/08/14,,,,,,,,,,,,,,,,,,2.45,,2.97,,3.03
Arles,Ajaccio,0,0,D,,,2.57,3.1,3.55,2,,,,,,,,01/08/14,,,,,,,,,,,,,,,,,,2.38,,2.95,,3.16
Auxerre,LeHavre,2,0,H,,,2.44,3.2,3.7,1,,,,,,,,01/08/14,,,,,,,,,,,,,,,,,,2.26,,3.04,,3.29
Chateauroux,Troyes,0,1,A,,,3.95,3.25,2.4,3,,,,,,,,01/08/14,,,,,,,,,,,,,,,,,,3.49,,3.09,,2.15
Laval,Niort,1,1,D,,,2.6,3.2,3.3,2,,,,,,,,01/08/14,,,,,,,,,,,,,,,,,,2.38,,2.99,,3.1
Nancy,Dijon,1,1,D,,,2.04,3.33,4.6,2,,,,,,,,01/08/14,,,,,,,,,,,,,,,,,,1.93,,3.16,,4.12
Nimes,Angers,3,2,H,,,2.24,3.27,3.9,1,,,,,,,,01/08/14,,,,,,,,,,,,,,,,,,2.12,,3.11,,3.54
Tours,Creteil,4,2,H,,,2.16,3.33,4.2,1,,,,,,,,01/08/14,,,,,,,,,,,,,,,,,,2.04,,3.14,,3.72
Sochaux,Orleans,0,1,A,,,1.91,3.6,4.9,3,,,,,,,,02/08/14,,,,,,,,,,,,,,,,,,1.82,,3.31,,4.38
Brest,Clermont,2,1,H,,,2.03,3.3,4.8,1,,,,,,,,04/08/14,,,,,,,,,,,,,,,,,,1.95,,3.06,,4.14
Angers,Arles,2,0,H,,,2,3.25,4.9,1,,,,,,,,08/08/14,,,,,,,,,,,,,,,,,,1.95,,3.1,,4.2
Clermont,Auxerre,1,1,D,,,2.8,3.2,3.2,2,,,,,,,,08/08/14,,,,,,,,,,,,,,,,,,2.5,,2.97,,2.96
Creteil,Chateauroux,3,0,H,,,1.75,3.8,6.24,1,,,,,,,,08/08/14,,,,,,,,,,,,,,,,,,1.64,,3.53,,5.48
Dijon,Laval,1,0,H,,,1.82,3.55,5.9,1,,,,,,,,08/08/14,,,,,,,,,,,,,,,,,,1.75,,3.34,,4.92
LeHavre,AjaccioGFCO,1,1,D,,,2.06,3.2,5,2,,,,,,,,08/08/14,,,,,,,,,,,,,,,,,,1.97,,3.09,,4.19
Niort,Brest,0,0,D,,,2.16,3.2,4.5,2,,,,,,,,08/08/14,,,,,,,,,,,,,,,,,,2.04,,3.04,,3.92
Orleans,Nancy,0,1,A,,,2.56,3.2,3.38,3,,,,,,,,08/08/14,,,,,,,,,,,,,,,,,,2.37,,3,,3.12
Troyes,Tours,1,0,H,,,1.8,3.75,6,1,,,,,,,,08/08/14,,,,,,,,,,,,,,,,,,1.69,,3.42,,5.19
Ajaccio,Sochaux,0,2,A,,,2.16,3.3,4.33,3,,,,,,,,09/08/14,,,,,,,,,,,,,,,,,,2.07,,3.08,,3.7
Valenciennes,Nimes,2,2,D,,,2.5,3.2,3.5,2,,,,,,,,09/08/14,,,,,,,,,,,,,,,,,,2.33,,3.03,,3.12
Auxerre,Orleans,0,1,A,,,2.36,3.2,3.73,3,,,,,,,,15/08/14,,,,,,,,,,,,,,,,,,2.26,,2.98,,3.36
Chateauroux,Clermont,3,2,H,,,2.95,3.1,2.94,1,,,,,,,,15/08/14,,,,,,,,,,,,,,,,,,2.72,,2.95,,2.72
Laval,Creteil,1,1,D,,,2.58,3.2,3.4,2,,,,,,,,15/08/14,,,,,,,,,,,,,,,,,,2.36,,3.05,,3.1
Nancy,Arles,1,1,D,,,1.8,3.55,6.3,2,,,,,,,,15/08/14,,,,,,,,,,,,,,,,,,1.72,,3.3,,5.27
Nimes,Dijon,2,2,D,,,2.35,3.25,3.71,2,,,,,,,,15/08/14,,,,,,,,,,,,,,,,,,2.25,,3.05,,3.33
Niort,LeHavre,1,0,H,,,2.3,3.15,4.1,1,,,,,,,,15/08/14,,,,,,,,,,,,,,,,,,2.17,,3.01,,3.57
