Lille,PSG,0,1,-56.9608532699999,,,7,3.8,1.75,3,,,6.12,3.61,1.62,,,,,,07/08/15
Bastia,Rennes,2,1,55.59690989,,,2.71,3.18,3.1,1,,,2.56,3.02,2.92,,,,,,08/08/15
Marseille,Caen,0,1,159.34165036,,,1.6,4.4,6.59,3,,,1.55,4.01,6,,,,,,08/08/15
Montpellier,Angers,0,2,154.62291308,,,1.83,3.5,5.53,3,,,1.77,3.32,5.04,,,,,,08/08/15
Nantes,Guingamp,1,0,75.84899466,,,2.25,3.19,4.2,1,,,2.16,3.04,3.69,,,,,,08/08/15
Nice,Monaco,1,2,-133.82034348,,,4.3,3.38,2.3,3,,,3.78,3.2,2.06,,,,,,08/08/15
Troyes,Ajaccio,0,0,220.7442627,,,2.1,3.3,4.43,2,,,2.01,3.18,3.97,,,,,,08/08/15
Bordeaux,Reims,1,2,180.02971032,,,1.73,3.85,6,3,,,1.67,3.65,5.31,,,,,,09/08/15
Lyon,Lorient,0,0,208.46966144,,,1.6,4.3,7,2,,,1.55,3.92,6.17,,,,,,09/08/15
Toulouse,SaintEtienne,2,1,-55.0727730800002,,,3.2,3.2,2.64,1,,,2.93,3.08,2.49,,,,,,09/08/15
Monaco,Lille,0,0,96.5479034699999,,,1.7,3.8,7.5,2,,,1.59,3.63,6.52,,,,,,14/08/15
Angers,Nantes,0,0,19.3231122300001,,,2.6,3.25,3.4,2,,,2.46,3.01,3.11,,,,,,15/08/15
Caen,Toulouse,1,0,79.4451920199999,,,2.4,3.4,3.4,1,,,2.27,3.26,3.19,,,,,,15/08/15
Guingamp,Lyon,0,1,-112.51216272,,,3.78,3.4,2.3,3,,,3.49,3.25,2.14,,,,,,15/08/15
Rennes,Montpellier,1,0,54.1424768499999,,,2.3,3.3,3.8,1,,,2.21,3.13,3.49,,,,,,15/08/15
SaintEtienne,Bordeaux,1,1,165.72546897,,,2.01,3.4,4.5,2,,,1.97,3.24,4.13,,,,,,15/08/15
Troyes,Nice,3,3,39.9973302633923,,,2.3,3.32,4,2,,,2.11,3.2,3.66,,,,,,15/08/15
Lorient,Bastia,1,1,78.3660338300001,,,2,3.6,5.18,2,,,1.86,3.35,4.49,,,,,,16/08/15
PSG,Ajaccio,2,0,515.691858983392,,,1.15,11,41,1,,,1.1,9.26,26.42,,,,,,16/08/15
Reims,Marseille,1,0,-57.50077599,,,3.6,3.5,2.26,1,,,3.32,3.31,2.19,,,,,,16/08/15
Montpellier,PSG,0,1,-193.760429374058,,,9.1,4.4,1.5,3,,,7.91,4.13,1.45,,,,,,21/08/15
Ajaccio,Angers,0,2,-43.0548468984011,,,2.38,3.2,3.8,3,,,2.27,2.97,3.54,,,,,,22/08/15
Bastia,Guingamp,3,0,105.947444365005,,,2.5,3.15,3.5,1,,,2.36,2.97,3.33,,,,,,22/08/15
Lyon,Rennes,1,2,212.215646359944,,,1.62,4,7.5,3,,,1.57,3.74,6.5,,,,,,22/08/15
Nantes,Reims,1,0,71.9313454630415,,,2.3,3.2,4,1,,,2.2,3.04,3.63,,,,,,22/08/15
Nice,Caen,2,1,4.12939945331436,,,2.3,3.4,3.5,1,,,2.23,3.25,3.27,,,,,,22/08/15
Toulouse,Monaco,1,1,-85.8586950033894,,,3.25,3.3,2.6,2,,,2.99,3.14,2.45,,,,,,22/08/15
Lille,Bordeaux,0,0,139.833281885521,,,2.25,3.3,4.06,2,,,2.1,3.16,3.73,,,,,,23/08/15
Lorient,SaintEtienne,0,1,-70.1753533493725,,,2.75,3.3,3.07,3,,,2.6,3.02,2.89,,,,,,23/08/15
Marseille,Troyes,6,0,156.749140669034,,,1.7,4,6.5,1,,,1.62,3.76,5.67,,,,,,23/08/15
Guingamp,Marseille,2,0,-56.1397725521281,,,4.33,3.4,2.1,1,,,3.9,3.25,2.02,,,,,,28/08/15
Angers,Nice,1,1,-17.9546994305058,,,2.5,3.25,3.7,2,,,2.24,3.08,3.4,,,,,,29/08/15
Caen,Lyon,0,4,-114.546240618319,,,3.5,3.42,2.3,3,,,3.29,3.24,2.22,,,,,,29/08/15
Lille,Ajaccio,1,0,345.910359027152,,,1.5,4.33,10.5,1,,,1.44,3.96,8.6,,,,,,29/08/15
Reims,Lorient,4,1,23.2382303363256,,,2.33,3.3,3.6,1,,,2.24,3.15,3.35,,,,,,29/08/15
Rennes,Toulouse,3,1,133.638533678492,,,2.25,3.31,3.8,1,,,2.17,3.15,3.51,,,,,,29/08/15
Troyes,Montpellier,0,0,51.2456274319052,,,2.52,3.25,3.24,2,,,2.42,3.1,3.04,,,,,,29/08/15
Bordeaux,Nantes,2,0,164.074974827319,,,2.1,3.35,5,1,,,2,3.11,4.2,,,,,,30/08/15
Monaco,PSG,0,3,-101.14206283052,,,4.5,3.36,2.05,3,,,4.09,3.22,1.97,,,,,,30/08/15
SaintEtienne,Bastia,2,1,237.084546229475,,,1.73,3.6,6.5,1,,,1.67,3.44,5.79,,,,,,30/08/15
PSG,Bordeaux,2,2,303.928192960595,,,1.29,6,17,2,,,1.26,5.61,12.64,,,,,,11/09/15
