Monaco,Toulouse,3,2,,,,1.35,6,11.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04/08/17,,,1.32,,5.24,,9.82
Lyon,Strasbourg,4,0,,,,1.44,5.19,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/08/17,,,1.38,,4.81,,7.95
Metz,Guingamp,1,3,,,,2.96,3.25,2.78,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/08/17,,,2.8,,3.14,,2.63
Montpellier,Caen,1,0,,,,1.95,3.6,4.74,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/08/17,,,1.88,,3.44,,4.26
PSG,Amiens,2,0,,,,1.17,10.97,34.25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/08/17,,,1.11,,9.21,,22.92
SaintEtienne,Nice,1,0,,,,2.33,3.25,3.75,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/08/17,,,2.25,,3.14,,3.41
Troyes,Rennes,1,1,,,,2.84,3.2,2.91,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/08/17,,,2.66,,3.08,,2.81
Angers,Bordeaux,2,2,,,,2.71,3.1,3.2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/08/17,,,2.54,,3.02,,2.99
Lille,Nantes,3,0,,,,2.3,3.3,4.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/08/17,,,2.1,,3.16,,3.79
Marseille,Dijon,3,0,,,,1.45,5.19,8.88,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/08/17,,,1.39,,4.69,,7.94
Nice,Troyes,1,2,,,,1.6,4.5,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/08/17,,,1.52,,4.17,,6.47
Rennes,Lyon,1,2,,,,3.8,3.68,2.1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/08/17,,,3.64,,3.49,,2.02
Amiens,Angers,0,2,,,,3.04,3.14,2.75,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/08/17,,,2.89,,3.02,,2.62
Bordeaux,Metz,2,0,,,,1.5,4.6,8.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/08/17,,,1.45,,4.36,,7.21
Caen,SaintEtienne,0,1,,,,3.1,3.2,2.66,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/08/17,,,2.92,,3.05,,2.58
Nantes,Marseille,0,1,,,,3.7,3.44,2.25,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/08/17,,,3.37,,3.33,,2.17
Toulouse,Montpellier,1,0,,,,2.38,3.25,3.74,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/08/17,,,2.25,,3.12,,3.42
Dijon,Monaco,1,4,,,,7.1,4.5,1.6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/08/17,,,6.04,,4.22,,1.53
Guingamp,PSG,0,3,,,,15,6.5,1.3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/08/17,,,11.53,,5.7,,1.26
Strasbourg,Lille,3,0,,,,3.8,3.44,2.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/08/17,,,3.52,,3.3,,2.12
Metz,Monaco,0,1,,,,10.3,5.93,1.35,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/08/17,,,9.06,,5.4,,1.32
Lyon,Bordeaux,3,3,,,,1.67,4.33,5.75,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/08/17,,,1.62,,4.03,,5.15
Montpellier,Strasbourg,1,1,,,,1.88,3.75,4.85,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/08/17,,,1.83,,3.54,,4.35
Nice,Guingamp,2,0,,,,2.08,3.45,4.55,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/08/17,,,2,,3.27,,3.97
Rennes,Dijon,2,2,,,,1.65,4.15,6.41,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/08/17,,,1.61,,3.81,,5.74
SaintEtienne,Amiens,3,0,,,,1.57,4.1,7.75,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/08/17,,,1.54,,3.82,,6.76
Troyes,Nantes,0,1,,,,2.7,3.23,3.1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/08/17,,,2.54,,3.15,,2.9
Lille,Caen,0,2,,,,1.7,4,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/08/17,,,1.65,,3.79,,5.34
Marseille,Angers,1,1,,,,1.67,4.07,6.3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/08/17,,,1.61,,3.85,,5.57
PSG,Toulouse,6,2,,,,1.12,12.65,41,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/08/17,,,1.08,,10.4,,28.07
PSG,SaintEtienne,3,0,,,,1.13,12.5,34.25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25/08/17,,,1.09,,10.47,,25.48
Amiens,Nice,3,0,,,,3.62,3.3,2.38,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/08/17,,,3.34,,3.17,,2.26
Bordeaux,Troyes,2,1,,,,1.48,4.8,8.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/08/17,,,1.42,,4.47,,7.55
Caen,Metz,1,0,,,,1.87,3.6,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/08/17,,,1.82,,3.46,,4.61
Dijon,Montpellier,2,1,,,,2.65,3.32,2.95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/08/17,,,2.55,,3.21,,2.82
Nantes,Lyon,0,0,,,,3.75,3.66,2.16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/08/17,,,3.47,,3.46,,2.09
Toulouse,Rennes,3,2,,,,2.35,3.28,3.51,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26/08/17,,,2.27,,3.14,,3.35
Angers,Lille,1,1,,,,2.3,3.3,3.76,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/08/17,,,2.19,,3.18,,3.5
Guingamp,Strasbourg,2,0,,,,2,3.5,4.76,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/08/17,,,1.9,,3.36,,4.28
Monaco,Marseille,6,1,,,,1.65,4.25,5.74,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27/08/17,,,1.61,,4.09,,5.23
Lille,Bordeaux,0,0,,,,3,3.35,2.65,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/09/17,,,2.85,,3.25,,2.52
Metz,PSG,1,5,,,,27.6,10.97,1.16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/09/17,,,20.82,,9.07,,1.12
Caen,Dijon,2,1,,,,2.08,3.5,4.12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/09/17,,,2.02,,3.35,,3.78
Montpellier,Nantes,0,1,,,,2.3,3.25,3.8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/09/17,,,2.23,,3.08,,3.51
Nice,Monaco,4,0,,,,4.75,3.9,1.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/09/17,,,4.29,,3.7,,1.81
Strasbourg,Amiens,0,1,,,,2.2,3.37,4.2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/09/17,,,2.03,,3.26,,3.86
Troyes,Toulouse,0,0,,,,2.98,3.31,2.63,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/09/17,,,2.86,,3.2,,2.52
Lyon,Guingamp,2,1,,,,1.42,5.45,8.67,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/09/17,,,1.38,,4.94,,7.67
Marseille,Rennes,1,3,,,,1.75,4.05,5.6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/09/17,,,1.68,,3.8,,4.98
SaintEtienne,Angers,1,1,,,,2.18,3.21,4.08,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/09/17,,,2.13,,3.1,,3.75
Toulouse,Bordeaux,0,1,,,,3.15,3.3,2.62,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15/09/17,,,2.95,,3.19,,2.47
Dijon,SaintEtienne,0,1,,,,3.25,3.28,2.53,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/09/17,,,3.06,,3.14,,2.43
Guingamp,Lille,1,0,,,,2.27,3.4,3.94,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/09/17,,,2.11,,3.28,,3.59
Monaco,Strasbourg,3,0,,,,1.23,7.5,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/09/17,,,1.2,,6.73,,13.52
Nantes,Caen,1,0,,,,2,3.31,4.61,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/09/17,,,1.94,,3.23,,4.31
Troyes,Montpellier,0,1,,,,2.85,3.3,2.9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/09/17,,,2.7,,3.16,,2.71
Amiens,Marseille,0,2,,,,4.2,3.47,2.1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/09/17,,,3.84,,3.31,,2.02
Angers,Metz,0,1,,,,1.65,4.24,7.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/09/17,,,1.52,,3.97,,6.87
PSG,Lyon,2,0,,,,1.2,9.5,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/09/17,,,1.16,,8.07,,14.95
Rennes,Nice,0,1,,,,2.5,3.45,3.3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17/09/17,,,2.33,,3.26,,3.13
Lille,Monaco,0,4,,,,5.15,4.05,1.79,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/09/17,,,4.76,,3.82,,1.72
Nice,Angers,2,2,,,,1.86,3.65,5.01,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22/09/17,,,1.81,,3.47,,4.62
Bordeaux,Guingamp,3,1,,,,1.83,3.76,5.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/09/17,,,1.76,,3.56,,4.79
Caen,Amiens,1,0,,,,1.96,3.4,4.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/09/17,,,1.89,,3.28,,4.42
Lyon,Dijon,3,3,,,,1.31,6.5,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/09/17,,,1.27,,5.86,,10.01
Metz,Troyes,0,1,,,,2.2,3.43,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/09/17,,,2.12,,3.31,,3.53
Montpellier,PSG,0,0,,,,18,7.75,1.25,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/09/17,,,14.17,,6.57,,1.2
Marseille,Toulouse,2,0,,,,1.65,4.25,6.75,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/09/17,,,1.57,,3.97,,5.95
SaintEtienne,Rennes,2,2,,,,2.16,3.36,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/09/17,,,2.09,,3.24,,3.7
Strasbourg,Nantes,1,2,,,,2.77,3.2,3.1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/09/17,,,2.6,,2.97,,2.96
Monaco,Montpellier,1,1,,,,1.36,5.75,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29/09/17,,,1.32,,5.24,,9.45
Dijon,Strasbourg,1,1,,,,2.15,3.54,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30/09/17,,,2.06,,3.29,,3.65
Guingamp,Toulouse,1,1,,,,2.1,3.45,4.44,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30/09/17,,,1.94,,3.31,,4.1
Nantes,Metz,1,0,,,,1.75,3.75,6.25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30/09/17,,,1.66,,3.55,,5.69
PSG,Bordeaux,6,2,,,,1.16,10.52,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30/09/17,,,1.13,,8.79,,17.37
Rennes,Caen,0,1,,,,2,3.45,4.66,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30/09/17,,,1.92,,3.32,,4.2
