Marseille,Toulouse,,,,,,,,,1
Nantes,Monaco,,,,,,,,,3
Lille,Rennes,,,,,,,,,1
Montpellier,Dijon,,,,,,,,,3
SaintEtienne,Guingamp,,,,,,,,,1
Nice,Reims,,,,,,,,,3
Angers,Nimes,,,,,,,,,3
Lyon,Amiens,,,,,,,,,1
Bordeaux,Strasbourg,,,,,,,,,3
PSG,Caen,,,,,,,,,1
Reims,Lyon,,,,,,,,,1
Guingamp,PSG,,,,,,,,,3
Rennes,Angers,,,,,,,,,1
Caen,Nice,,,,,,,,,2
Monaco,Lille,,,,,,,,,2
Dijon,Nantes,,,,,,,,,1
Amiens,Montpellier,,,,,,,,,3
Strasbourg,SaintEtienne,,,,,,,,,2
Toulouse,Bordeaux,,,,,,,,,1
Nimes,Marseille,,,,,,,,,1
Lyon,Strasbourg,,,,,,,,,1
PSG,Angers,,,,,,,,,1
Montpellier,SaintEtienne,,,,,,,,,2
Toulouse,Nimes,,,,,,,,,1
Nice,Dijon,,,,,,,,,3
Nantes,Caen,,,,,,,,,2
Amiens,Reims,,,,,,,,,1
Lille,Guingamp,,,,,,,,,1
Bordeaux,Monaco,,,,,,,,,1
Marseille,Rennes,,,,,,,,,2
Lyon,Nice,,,,,,,,,3
Nimes,PSG,,,,,,,,,3
Reims,Montpellier,,,,,,,,,3
Dijon,Caen,,,,,,,,,3
Guingamp,Toulouse,,,,,,,,,3
Angers,Lille,,,,,,,,,1
Strasbourg,Nantes,,,,,,,,,3
SaintEtienne,Amiens,,,,,,,,,2
Rennes,Bordeaux,,,,,,,,,1
Monaco,Marseille,,,,,,,,,3
Nice,Rennes,,,,,,,,,1
PSG,SaintEtienne,,,,,,,,,1
Caen,Lyon,,,,,,,,,2
Montpellier,Strasbourg,,,,,,,,,2
Dijon,Angers,,,,,,,,,3
Amiens,Lille,,,,,,,,,3
Toulouse,Monaco,,,,,,,,,2
Nantes,Reims,,,,,,,,,2
Bordeaux,Nimes,,,,,,,,,2
Marseille,Guingamp,,,,,,,,,1
Monaco,Nimes,,,,,,,,,2
Lille,Nantes,,,,,,,,,1
Montpellier,Nice,,,,,,,,,1
Reims,Dijon,,,,,,,,,2
SaintEtienne,Caen,,,,,,,,,1
Angers,Toulouse,,,,,,,,,2
Strasbourg,Amiens,,,,,,,,,1
Rennes,PSG,,,,,,,,,3
Guingamp,Bordeaux,,,,,,,,,3
Lyon,Marseille,,,,,,,,,1
Nantes,Nice,,,,,,,,,3
Monaco,Angers,,,,,,,,,3
Toulouse,SaintEtienne,,,,,,,,,3
Bordeaux,Lille,,,,,,,,,1
Marseille,Strasbourg,,,,,,,,,1
Dijon,Lyon,,,,,,,,,3
Nimes,Guingamp,,,,,,,,,2
Caen,Montpellier,,,,,,,,,2
Amiens,Rennes,,,,,,,,,1
PSG,Reims,,,,,,,,,1
SaintEtienne,Monaco,,,,,,,,,1
Nice,PSG,,,,,,,,,3
Lyon,Nantes,,,,,,,,,2
Reims,Bordeaux,,,,,,,,,2
Caen,Amiens,,,,,,,,,1
Angers,Guingamp,,,,,,,,,3
Strasbourg,Dijon,,,,,,,,,1
Rennes,Toulouse,,,,,,,,,2
Montpellier,Nimes,,,,,,,,,1
Lille,Marseille,,,,,,,,,1
Toulouse,Nice,,,,,,,,,2
Lille,SaintEtienne,,,,,,,,,1
Angers,Strasbourg,,,,,,,,,2
Guingamp,Montpellier,,,,,,,,,2
Amiens,Dijon,,,,,,,,,1
Nimes,Reims,,,,,,,,,2
Bordeaux,Nantes,,,,,,,,,1
Marseille,Caen,,,,,,,,,1
Monaco,Rennes,,,,,,,,,3
PSG,Lyon,,,,,,,,,1
Lyon,Nimes,,,,,,,,,1
PSG,Amiens,,,,,,,,,1
Reims,Angers,,,,,,,,,2
Nantes,Toulouse,,,,,,,,,1
Caen,Guingamp,,,,,,,,,2
Dijon,Lille,,,,,,,,,3
Strasbourg,Monaco,,,,,,,,,1
Montpellier,Bordeaux,,,,,,,,,1
SaintEtienne,Rennes,,,,,,,,,2
Nice,Marseille,,,,,,,,,3
Nimes,SaintEtienne,,,,,,,,,2
Angers,Lyon,,,,,,,,,3
Lille,Caen,,,,,,,,,1
Monaco,Dijon,,,,,,,,,2
Guingamp,Strasbourg,,,,,,,,,2
Amiens,Nantes,,,,,,,,,3
Toulouse,Montpellier,,,,,,,,,3
Rennes,Reims,,,,,,,,,3
Bordeaux,Nice,,,,,,,,,3
Marseille,PSG,,,,,,,,,3
PSG,Lille,,,,,,,,,1
Lyon,Bordeaux,,,,,,,,,2
Nice,Amiens,,,,,,,,,1
Reims,Monaco,,,,,,,,,1
Dijon,Nimes,,,,,,,,,3
Strasbourg,Toulouse,,,,,,,,,2
Caen,Rennes,,,,,,,,,3
Nantes,Guingamp,,,,,,,,,1
SaintEtienne,Angers,,,,,,,,,1
Montpellier,Marseille,,,,,,,,,1
Lille,Strasbourg,,,,,,,,,2
Guingamp,Lyon,,,,,,,,,3
SaintEtienne,Reims,,,,,,,,,1
Angers,Montpellier,,,,,,,,,1
Nimes,Nice,,,,,,,,,3
Toulouse,Amiens,,,,,,,,,3
Bordeaux,Caen,,,,,,,,,2
Rennes,Nantes,,,,,,,,,2
