Liverpool,Norwich,4,1,,,,,,,1
WestHam,ManchesterCity,0,5,,,,,,,3
Burnley,Southampton,3,0,,,,,,,1
CrystalPalace,Everton,0,0,,,,,,,2
Watford,Brighton,0,3,,,,,,,3
Bournemouth,Sheffield,1,1,,,,,,,2
Tottenham,AstonVilla,3,1,,,,,,,1
Leicester,Wolverhampton,0,0,,,,,,,2
Newcastle,Arsenal,0,1,,,,,,,3
ManchesterUnited,Chelsea,4,0,,,,,,,1
Arsenal,Burnley,2,1,,,,,,,1
AstonVilla,Bournemouth,1,2,,,,,,,3
Everton,Watford,1,0,,,,,,,1
Southampton,Liverpool,1,2,,,,,,,3
Norwich,Newcastle,3,1,,,,,,,1
Brighton,WestHam,1,1,,,,,,,2
ManchesterCity,Tottenham,2,2,,,,,,,2
Sheffield,CrystalPalace,1,0,,,,,,,1
Chelsea,Leicester,1,1,,,,,,,2
Wolverhampton,ManchesterUnited,1,1,,,,,,,2
AstonVilla,Everton,2,0,,,,,,,1
Norwich,Chelsea,2,3,,,,,,,3
ManchesterUnited,CrystalPalace,1,2,,,,,,,3
Brighton,Southampton,0,2,,,,,,,3
Sheffield,Leicester,1,2,,,,,,,3
Watford,WestHam,1,3,,,,,,,3
Liverpool,Arsenal,3,1,,,,,,,1
Bournemouth,ManchesterCity,1,3,,,,,,,3
Wolverhampton,Burnley,1,1,,,,,,,2
Tottenham,Newcastle,0,1,,,,,,,3
Southampton,ManchesterUnited,1,1,,,,,,,2
ManchesterCity,Brighton,4,0,,,,,,,1
Newcastle,Watford,1,1,,,,,,,2
WestHam,Norwich,2,0,,,,,,,1
Chelsea,Sheffield,2,2,,,,,,,2
Leicester,Bournemouth,3,1,,,,,,,1
CrystalPalace,AstonVilla,1,0,,,,,,,1
Burnley,Liverpool,0,3,,,,,,,3
Everton,Wolverhampton,3,2,,,,,,,1
Arsenal,Tottenham,2,2,,,,,,,2
Liverpool,Newcastle,3,1,,,,,,,1
Wolverhampton,Chelsea,2,5,,,,,,,3
Tottenham,CrystalPalace,4,0,,,,,,,1
ManchesterUnited,Leicester,1,0,,,,,,,1
Brighton,Burnley,1,1,,,,,,,2
Sheffield,Southampton,0,1,,,,,,,3
Norwich,ManchesterCity,3,2,,,,,,,1
Bournemouth,Everton,3,1,,,,,,,1
Watford,Arsenal,2,2,,,,,,,2
AstonVilla,WestHam,0,0,,,,,,,2
Southampton,Bournemouth,1,3,,,,,,,3
Leicester,Tottenham,2,1,,,,,,,1
ManchesterCity,Watford,8,0,,,,,,,1
Everton,Sheffield,0,2,,,,,,,3
Burnley,Norwich,2,0,,,,,,,1
Newcastle,Brighton,0,0,,,,,,,2
WestHam,ManchesterUnited,2,0,,,,,,,1
CrystalPalace,Wolverhampton,1,1,,,,,,,2
Chelsea,Liverpool,1,2,,,,,,,3
Arsenal,AstonVilla,3,2,,,,,,,1
Sheffield,Liverpool,0,1,,,,,,,3
Wolverhampton,Watford,2,0,,,,,,,1
Chelsea,Brighton,2,0,,,,,,,1
AstonVilla,Burnley,2,2,,,,,,,2
Tottenham,Southampton,2,1,,,,,,,1
CrystalPalace,Norwich,2,0,,,,,,,1
Bournemouth,WestHam,2,2,,,,,,,2
Everton,ManchesterCity,1,3,,,,,,,3
Leicester,Newcastle,5,0,,,,,,,1
ManchesterUnited,Arsenal,1,1,,,,,,,2
Brighton,Tottenham,3,0,,,,,,,1
Liverpool,Leicester,2,1,,,,,,,1
Norwich,AstonVilla,1,5,,,,,,,3
Burnley,Everton,1,0,,,,,,,1
Watford,Sheffield,0,0,,,,,,,2
WestHam,CrystalPalace,1,2,,,,,,,3
ManchesterCity,Wolverhampton,0,2,,,,,,,3
Southampton,Chelsea,1,4,,,,,,,3
Arsenal,Bournemouth,1,0,,,,,,,1
Newcastle,ManchesterUnited,1,0,,,,,,,1
Everton,WestHam,2,0,,,,,,,1
Wolverhampton,Southampton,1,1,,,,,,,2
AstonVilla,Brighton,2,1,,,,,,,1
Tottenham,Watford,1,1,,,,,,,2
Chelsea,Newcastle,1,0,,,,,,,1
Leicester,Burnley,2,1,,,,,,,1
Bournemouth,Norwich,0,0,,,,,,,2
CrystalPalace,ManchesterCity,0,2,,,,,,,3
ManchesterUnited,Liverpool,1,1,,,,,,,2
Sheffield,Arsenal,1,0,,,,,,,1
Southampton,Leicester,0,9,,,,,,,3
ManchesterCity,AstonVilla,3,0,,,,,,,1
Brighton,Everton,3,2,,,,,,,1
WestHam,Sheffield,1,1,,,,,,,2
Watford,Bournemouth,0,0,,,,,,,2
Burnley,Chelsea,2,4,,,,,,,3
Newcastle,Wolverhampton,1,1,,,,,,,2
Liverpool,Tottenham,2,1,,,,,,,1
Norwich,ManchesterUnited,1,3,,,,,,,3
Arsenal,CrystalPalace,2,2,,,,,,,2
Bournemouth,ManchesterUnited,1,0,,,,,,,1
Brighton,Norwich,2,0,,,,,,,1
AstonVilla,Liverpool,1,2,,,,,,,3
ManchesterCity,Southampton,2,1,,,,,,,1
Arsenal,Wolverhampton,1,1,,,,,,,2
Sheffield,Burnley,3,0,,,,,,,1
WestHam,Newcastle,2,3,,,,,,,3
Watford,Chelsea,1,2,,,,,,,3
CrystalPalace,Leicester,0,2,,,,,,,3
Everton,Tottenham,1,1,,,,,,,2
Norwich,Watford,0,2,,,,,,,3
Chelsea,CrystalPalace,2,0,,,,,,,1
Newcastle,Bournemouth,2,1,,,,,,,1
Tottenham,Sheffield,1,1,,,,,,,2
Burnley,WestHam,3,0,,,,,,,1
Southampton,Everton,1,2,,,,,,,3
Leicester,Arsenal,2,0,,,,,,,1
Wolverhampton,AstonVilla,2,1,,,,,,,1
ManchesterUnited,Brighton,3,1,,,,,,,1
Liverpool,ManchesterCity,3,1,,,,,,,1
WestHam,Tottenham,2,3,,,,,,,3
CrystalPalace,Liverpool,1,2,,,,,,,3
Everton,Norwich,0,2,,,,,,,3
Brighton,Leicester,0,2,,,,,,,3
Watford,Burnley,0,3,,,,,,,3
Arsenal,Southampton,2,2,,,,,,,2
Bournemouth,Wolverhampton,1,2,,,,,,,3
ManchesterCity,Chelsea,2,1,,,,,,,1
Sheffield,ManchesterUnited,3,3,,,,,,,2
AstonVilla,Newcastle,2,0,,,,,,,1
Newcastle,ManchesterCity,2,2,,,,,,,2
Liverpool,Brighton,2,1,,,,,,,1
Chelsea,WestHam,0,1,,,,,,,3
Tottenham,Bournemouth,3,2,,,,,,,1
Burnley,CrystalPalace,0,2,,,,,,,3
Southampton,Watford,2,1,,,,,,,1
Wolverhampton,Sheffield,1,1,,,,,,,2
Norwich,Arsenal,2,2,,,,,,,2
Leicester,Everton,2,1,,,,,,,1
ManchesterUnited,AstonVilla,2,2,,,,,,,2
CrystalPalace,Bournemouth,1,0,,,,,,,1
Burnley,ManchesterCity,1,4,,,,,,,3
Wolverhampton,WestHam,2,0,,,,,,,1
Leicester,Watford,2,0,,,,,,,1
ManchesterUnited,Tottenham,2,1,,,,,,,1
Chelsea,AstonVilla,2,1,,,,,,,1
Southampton,Norwich,2,1,,,,,,,1
Liverpool,Everton,5,2,,,,,,,1
Sheffield,Newcastle,0,2,,,,,,,3
Arsenal,Brighton,1,2,,,,,,,3
Everton,Chelsea,3,1,,,,,,,1
Tottenham,Burnley,5,0,,,,,,,1
Watford,CrystalPalace,0,0,,,,,,,2
Bournemouth,Liverpool,0,3,,,,,,,3
ManchesterCity,ManchesterUnited,1,2,,,,,,,3
AstonVilla,Leicester,1,4,,,,,,,3
Norwich,Sheffield,1,2,,,,,,,3
Newcastle,Southampton,2,1,,,,,,,1
Brighton,Wolverhampton,2,2,,,,,,,2
WestHam,Arsenal,1,3,,,,,,,3
Liverpool,Watford,2,0,,,,,,,1
Chelsea,Bournemouth,0,1,,,,,,,3
Sheffield,AstonVilla,2,0,,,,,,,1
Leicester,Norwich,1,1,,,,,,,2
Burnley,Newcastle,1,0,,,,,,,1
Southampton,WestHam,0,1,,,,,,,3
ManchesterUnited,Everton,1,1,,,,,,,2
Wolverhampton,Tottenham,1,2,,,,,,,3
Arsenal,ManchesterCity,0,3,,,,,,,3
CrystalPalace,Brighton,1,1,,,,,,,2
Everton,Arsenal,0,0,,,,,,,2
Newcastle,CrystalPalace,1,0,,,,,,,1
Norwich,Wolverhampton,1,2,,,,,,,3
AstonVilla,Southampton,1,3,,,,,,,3
Bournemouth,Burnley,0,1,,,,,,,3
Brighton,Sheffield,0,1,,,,,,,3
ManchesterCity,Leicester,3,1,,,,,,,1
Watford,ManchesterUnited,2,0,,,,,,,1
Tottenham,Chelsea,0,2,,,,,,,3
Tottenham,Brighton,2,1,,,,,,,1
AstonVilla,Norwich,1,0,,,,,,,1
Sheffield,Watford,1,1,,,,,,,2
Everton,Burnley,1,0,,,,,,,1
CrystalPalace,WestHam,2,1,,,,,,,1
Bournemouth,Arsenal,1,1,,,,,,,2
Chelsea,Southampton,0,2,,,,,,,3
ManchesterUnited,Newcastle,4,1,,,,,,,1
Leicester,Liverpool,0,4,,,,,,,3
Wolverhampton,ManchesterCity,3,2,,,,,,,1
Brighton,Bournemouth,2,0,,,,,,,1
Newcastle,Everton,1,2,,,,,,,3
Southampton,CrystalPalace,1,1,,,,,,,2
Watford,AstonVilla,3,0,,,,,,,1
WestHam,Leicester,1,2,,,,,,,3
Norwich,Tottenham,2,2,,,,,,,2
Burnley,ManchesterUnited,0,2,,,,,,,3
Arsenal,Chelsea,1,2,,,,,,,3
Liverpool,Wolverhampton,1,0,,,,,,,1
ManchesterCity,Sheffield,2,0,,,,,,,1
Burnley,AstonVilla,1,2,,,,,,,3
Brighton,Chelsea,1,1,,,,,,,2
Newcastle,Leicester,0,3,,,,,,,3
Southampton,Tottenham,1,0,,,,,,,1
Watford,Wolverhampton,2,1,,,,,,,1
ManchesterCity,Everton,2,1,,,,,,,1
Norwich,CrystalPalace,1,1,,,,,,,2
WestHam,Bournemouth,4,0,,,,,,,1
Arsenal,ManchesterUnited,2,0,,,,,,,1
Liverpool,Sheffield,2,0,,,,,,,1
Sheffield,WestHam,1,0,,,,,,,1
CrystalPalace,Arsenal,1,1,,,,,,,2
Chelsea,Burnley,3,0,,,,,,,1
Wolverhampton,Newcastle,1,1,,,,,,,2
ManchesterUnited,Norwich,4,0,,,,,,,1
Everton,Brighton,1,0,,,,,,,1
Leicester,Southampton,1,2,,,,,,,3
Tottenham,Liverpool,0,1,,,,,,,3
Bournemouth,Watford,0,3,,,,,,,3
AstonVilla,ManchesterCity,1,6,,,,,,,3
Watford,Tottenham,0,0,,,,,,,2
ManchesterCity,CrystalPalace,2,2,,,,,,,2
Arsenal,Sheffield,1,1,,,,,,,2
Norwich,Bournemouth,1,0,,,,,,,1
Southampton,Wolverhampton,2,3,,,,,,,3
Brighton,AstonVilla,1,1,,,,,,,2
WestHam,Everton,1,1,,,,,,,2
Newcastle,Chelsea,1,0,,,,,,,1
Burnley,Leicester,2,1,,,,,,,1
Liverpool,ManchesterUnited,2,0,,,,,,,1
Sheffield,ManchesterCity,0,1,,,,,,,3
AstonVilla,Watford,2,1,,,,,,,1
Everton,Newcastle,2,2,,,,,,,2
Bournemouth,Brighton,3,1,,,,,,,1
CrystalPalace,Southampton,0,2,,,,,,,3
Chelsea,Arsenal,2,2,,,,,,,2
Leicester,WestHam,4,1,,,,,,,1
Tottenham,Norwich,2,1,,,,,,,1
ManchesterUnited,Burnley,0,2,,,,,,,3
Wolverhampton,Liverpool,1,2,,,,,,,3
WestHam,Liverpool,0,2,,,,,,,3
Leicester,Chelsea,2,2,,,,,,,2
Liverpool,Southampton,4,0,,,,,,,1
Newcastle,Norwich,0,0,,,,,,,2
CrystalPalace,Sheffield,0,1,,,,,,,3
Bournemouth,AstonVilla,2,1,,,,,,,1
Watford,Everton,2,3,,,,,,,3
WestHam,Brighton,3,3,,,,,,,2
ManchesterUnited,Wolverhampton,0,0,,,,,,,2
Burnley,Arsenal,0,0,,,,,,,2
Tottenham,ManchesterCity,2,0,,,,,,,1
Everton,CrystalPalace,3,1,,,,,,,1
Brighton,Watford,1,1,,,,,,,2
Sheffield,Bournemouth,2,1,,,,,,,1
Wolverhampton,Leicester,0,0,,,,,,,2
Southampton,Burnley,1,2,,,,,,,3
Norwich,Liverpool,0,1,,,,,,,3
AstonVilla,Tottenham,2,3,,,,,,,3
Arsenal,Newcastle,4,0,,,,,,,1
Chelsea,ManchesterUnited,0,2,,,,,,,3
ManchesterCity,WestHam,2,0,,,,,,,1
Chelsea,Tottenham,2,1,,,,,,,1
Sheffield,Brighton,1,1,,,,,,,2
Southampton,AstonVilla,2,0,,,,,,,1
CrystalPalace,Newcastle,1,0,,,,,,,1
Burnley,Bournemouth,3,0,,,,,,,1
Leicester,ManchesterCity,0,1,,,,,,,3
Wolverhampton,Norwich,3,0,,,,,,,1
ManchesterUnited,Watford,3,0,,,,,,,1
Arsenal,Everton,3,2,,,,,,,1
Liverpool,WestHam,3,2,,,,,,,1
Norwich,Leicester,1,0,,,,,,,1
Brighton,CrystalPalace,0,1,,,,,,,3
Newcastle,Burnley,0,0,,,,,,,2
WestHam,Southampton,3,1,,,,,,,1
Bournemouth,Chelsea,2,2,,,,,,,2
Watford,Liverpool,3,0,,,,,,,1
Tottenham,Wolverhampton,2,3,,,,,,,3
Everton,ManchesterUnited,1,1,,,,,,,2
Liverpool,Bournemouth,2,1,,,,,,,1
Wolverhampton,Brighton,0,0,,,,,,,2
Sheffield,Norwich,1,0,,,,,,,1
Southampton,Newcastle,0,1,,,,,,,3
Arsenal,WestHam,1,0,,,,,,,1
CrystalPalace,Watford,1,0,,,,,,,1
Burnley,Tottenham,1,1,,,,,,,2
Chelsea,Everton,4,0,,,,,,,1
ManchesterUnited,ManchesterCity,2,0,,,,,,,1
Leicester,AstonVilla,4,0,,,,,,,1
AstonVilla,Sheffield,0,0,,,,,,,2
ManchesterCity,Arsenal,3,0,,,,,,,1
Norwich,Southampton,0,3,,,,,,,3
Tottenham,ManchesterUnited,1,1,,,,,,,2
Watford,Leicester,1,1,,,,,,,2
Brighton,Arsenal,2,1,,,,,,,1
WestHam,Wolverhampton,0,2,,,,,,,3
Bournemouth,CrystalPalace,0,2,,,,,,,3
Newcastle,Sheffield,3,0,,,,,,,1
AstonVilla,Chelsea,1,2,,,,,,,3
Everton,Liverpool,0,0,,,,,,,2
ManchesterCity,Burnley,5,0,,,,,,,1
Leicester,Brighton,0,0,,,,,,,2
Tottenham,WestHam,2,0,,,,,,,1
Wolverhampton,Bournemouth,1,0,,,,,,,1
Newcastle,AstonVilla,1,1,,,,,,,2
Norwich,Everton,0,1,,,,,,,3
ManchesterUnited,Sheffield,3,0,,,,,,,1
Liverpool,CrystalPalace,4,0,,,,,,,1
Burnley,Watford,1,0,,,,,,,1
