Eibar,Celta,88.8646112299998,,0,0,,2.8,3.12,3,2,,0.32,0.49,0.19,,0.901,1.514,0.579,,100,,,,,0.43,0.32,0.26,,1.19,1,0.77,,,,,12/09/2020,15:00
Granada,AthBilbao,-9.85720902999992,,2,0,,2.81,2.97,3.1,1,,0.25,0.48,0.27,,0.715,1.415,0.834,,100,,,,,0.29,0.41,0.3,,0.81,1.21,0.94,,,,,12/09/2020,17:30
Cadiz,Osasuna,-83.1230708564701,,0,2,,3.15,2.95,2.8,3,,0.2,0.47,0.33,,0.645,1.372,0.925,,83.8180960661452,,,,,0.23,0.41,0.37,,0.72,1.2,1.03,,,,,12/09/2020,20:00
Alaves,Betis,111.90466647,,0,1,,,,,3,,0.34,0.49,0.18,,,,,,76.9748905189477,,,,,0.47,0.28,0.25,,0,0,0,,,,,13/09/2020,13:00
Valladolid,Sociedad,-21.81331815,,1,1,,3.25,2.97,2.78,2,,0.25,0.48,0.28,,0.8,1.411,0.775,,76.9748905189477,,,,,0.28,0.41,0.31,,0.9,1.22,0.87,,,,,13/09/2020,15:00
Villarreal,Huesca,209.89134157,,1,1,,1.56,4.3,6.75,2,,0.39,0.49,0.12,,0.613,2.105,0.793,,92.8078368418381,,,,,0.64,0.17,0.19,,1,0.71,1.3,,,,,13/09/2020,17:30
Valencia,Levante,226.29119995,,4,2,,2.43,3.35,3.28,1,,0.4,0.49,0.11,,0.975,1.641,0.358,,92.8078368418381,,,,,0.66,0.16,0.18,,1.61,0.52,0.59,,,,,13/09/2020,20:00
Villarreal,Eibar,107.827553206969,,2,1,,1.7,3.8,5.7,1,,0.33,0.49,0.18,,0.568,1.848,1.024,,92.8078368418381,,,,,0.46,0.29,0.25,,0.78,1.1,1.41,,,,,19/09/2020,15:00
Getafe,Osasuna,93.9384110869385,,1,0,,2.04,3.2,4.7,1,,0.33,0.49,0.19,,0.663,1.553,0.89,,92.8078368418381,,,,,0.43,0.31,0.25,,0.89,1,1.19,,,,,19/09/2020,17:30
Celta,Valencia,7.15098360999991,,2,1,,2.2,3.5,3.62,1,,0.27,0.48,0.26,,0.585,1.675,0.925,,92.8078368418381,,,,,0.31,0.4,0.29,,0.67,1.4,1.06,,,,,19/09/2020,20:00
Huesca,Cadiz,114.77173203353,,0,2,,2.05,3.05,4.8,3,,0.34,0.49,0.17,,0.694,1.484,0.839,,92.8078368418381,,,,,0.47,0.28,0.25,,0.97,0.85,1.18,,,,,20/09/2020,15:00
Betis,Valladolid,117.54662019,,2,0,,1.87,3.7,5.1,1,,0.34,0.49,0.17,,0.636,1.801,0.882,,70.6191011863765,,,,,0.48,0.28,0.24,,0.9,1.02,1.25,,,,,20/09/2020,17:30
Granada,Alaves,84.5053267433145,,2,1,,2.32,3.1,4.2,1,,0.32,0.48,0.2,,0.74,1.503,0.824,,70.6191011863765,,,,,0.42,0.33,0.26,,0.97,1.01,1.08,,,,,20/09/2020,17:30
Sociedad,RealMadrid,-100.93694555,,0,0,,4.8,4,1.83,2,,0.19,0.46,0.35,,0.928,1.845,0.632,,70.6191011863765,,,,,0.22,0.4,0.39,,1.03,1.6,0.71,,,,,20/09/2020,20:00
Alaves,Getafe,-20.8897208866774,,0,0,,3.65,2.8,2.5,2,,0.25,0.48,0.28,,0.9,1.33,0.695,,70.6191011863765,,,,,0.28,0.41,0.31,,1.01,1.15,0.78,,,,,26/09/2020,12:00
Valencia,Huesca,310.429127204086,,1,1,,2.15,3.45,3.65,2,,0.44,0.49,0.07,,0.94,1.69,0.267,,80.5113160518428,,,,,0.74,0.13,0.12,,1.6,0.45,0.45,,,,,26/09/2020,15:00
Elche,Sociedad,-125.332927150344,,0,3,,7,3.75,1.67,3,,0.18,0.46,0.37,,1.247,1.708,0.612,,80.5113160518428,,,,,0.2,0.39,0.41,,1.4,1.46,0.69,,,,,26/09/2020,17:30
Betis,RealMadrid,-117.503204012,,2,3,,4.9,4.05,1.78,3,,0.18,0.46,0.36,,0.896,1.852,0.64,,80.5113160518428,,,,,0.2,0.39,0.4,,1,1.59,0.72,,,,,26/09/2020,20:00
Osasuna,Levante,71.8445318971164,,1,3,,2.2,3.4,3.5,3,,0.31,0.48,0.21,,0.683,1.646,0.719,,80.5113160518428,,,,,0.4,0.34,0.26,,0.87,1.17,0.91,,,,,27/09/2020,11:00
Eibar,AthBilbao,25.2994651944618,,1,2,,3.6,2.9,2.55,3,,0.28,0.48,0.24,,1.003,1.393,0.614,,80.5113160518428,,,,,0.33,0.39,0.28,,1.18,1.13,0.72,,,,,27/09/2020,13:00
AthMadrid,Granada,288.56976832,,6,1,,1.47,4.4,10,1,,0.43,0.49,0.08,,0.63,2.156,0.814,,63.6511492857508,,,,,0.73,0.13,0.14,,1.07,0.59,1.38,,,,,27/09/2020,15:00
Cadiz,Sevilla,-197.949718719532,,1,3,,6.25,3.55,1.73,3,,0.14,0.43,0.43,,0.862,1.53,0.746,,63.6511492857508,,,,,0.16,0.34,0.5,,1,1.22,0.86,,,,,27/09/2020,17:30
Valladolid,Celta,54.1385422772737,,1,1,,3.5,2.9,2.75,2,,0.3,0.48,0.22,,1.045,1.4,0.601,,63.6511492857508,,,,,0.37,0.36,0.27,,1.28,1.06,0.74,,,,,27/09/2020,17:30
Barcelona,Villarreal,305.09203463,,4,0,,1.55,5,6.3,1,,0.44,0.49,0.08,,0.674,2.449,0.473,,89.4307016560705,,,,,0.74,0.13,0.13,,1.15,0.66,0.81,,,,,27/09/2020,20:00
Sociedad,Valencia,76.6030142902396,,0,1,,1.55,4.5,6.5,3,,0.31,0.48,0.2,,0.486,2.18,1.312,,89.4307016560705,,,,,0.4,0.34,0.26,,0.63,1.52,1.69,,,,,29/09/2020,18:00
Getafe,Betis,162.471317330733,,3,0,,2.52,3.05,3.45,1,,0.37,0.49,0.14,,0.926,1.49,0.497,,89.4307016560705,,,,,0.57,0.21,0.22,,1.43,0.64,0.77,,,,,29/09/2020,20:30
Huesca,AthMadrid,-221.8382751244,,0,0,,8.25,4.3,1.58,2,,0.13,0.42,0.45,,1.043,1.807,0.716,,67.7281783323821,,,,,0.15,0.32,0.53,,1.22,1.39,0.84,,,,,30/09/2020,18:00
Villarreal,Alaves,153.911346021473,,3,1,,1.6,4.3,7.25,1,,0.36,0.49,0.15,,0.58,2.099,1.083,,67.7281783323821,,,,,0.55,0.22,0.23,,0.88,0.95,1.65,,,,,30/09/2020,18:00
Eibar,Elche,198.764356648082,,0,1,,1.75,3.6,5.8,3,,0.39,0.49,0.12,,0.678,1.762,0.715,,67.7281783323821,,,,,0.63,0.17,0.2,,1.1,0.63,1.16,,,,,30/09/2020,20:30
RealMadrid,Valladolid,334.268033443432,,1,0,,1.24,7,15,1,,0.45,0.49,0.07,,0.552,3.426,0.976,,67.7281783323821,,,,,0.76,0.13,0.11,,0.94,0.9,1.66,,,,,30/09/2020,20:30
AthBilbao,Cadiz,230.28818111207,,0,1,,1.7,3.8,7.25,3,,0.4,0.49,0.11,,0.685,1.861,0.776,,67.7281783323821,,,,,0.67,0.15,0.18,,1.14,0.58,1.29,,,,,01/10/2020,18:00
Sevilla,Levante,174.121230508962,,1,0,,1.5,4.7,8,1,,0.37,0.49,0.14,,0.561,2.297,1.098,,67.7281783323821,,,,,0.59,0.2,0.22,,0.88,0.93,1.72,,,,,01/10/2020,18:00
Celta,Barcelona,-203.211997814328,,0,3,,7,5,1.53,3,,0.14,0.43,0.44,,0.947,2.144,0.667,,67.7281783323821,,,,,0.16,0.34,0.5,,1.1,1.69,0.77,,,,,01/10/2020,20:30
