Valencia,Getafe,1,0,164.14414,,,2.7,3,3.4,1,,0.368,0.488,0.143,,0.995,1.465,0.487,,0.57,0.209,0.221,,1.538,0.627,0.753,,,13/08/2021,20:00
Cadiz,Levante,1,1,-34.4075700000001,,,3.48,3.22,2.61,2,,0.237,0.473,0.289,,0.826,1.524,0.755,,0.265,0.412,0.323,,0.923,1.326,0.844,,,14/08/2021,18:30
Mallorca,Betis,1,1,-13.2122999999999,,,3.2,3.2,3.05,2,,0.252,0.476,0.272,,0.806,1.524,0.829,,0.284,0.409,0.307,,0.91,1.308,0.936,,,14/08/2021,18:30
Alaves,RealMadrid,1,4,-195.87586,,,7.5,4.7,1.53,3,,0.139,0.432,0.429,,1.042,2.03,0.657,,0.16,0.344,0.496,,1.204,1.616,0.758,,,14/08/2021,21:00
Osasuna,Espanol,0,0,109.50061,,,2.65,3.2,3.2,2,,0.335,0.486,0.178,,0.888,1.556,0.571,,0.465,0.288,0.247,,1.231,0.922,0.792,,,14/08/2021,21:00
Celta,AthMadrid,1,2,-150.90334,,,4.4,3.45,2.2,3,,0.163,0.448,0.389,,0.718,1.546,0.855,,0.185,0.375,0.441,,0.813,1.292,0.969,,,15/08/2021,16:30
Barcelona,Sociedad,4,2,236.6334,,,1.73,4.7,5.9,1,,0.406,0.49,0.104,,0.703,2.302,0.614,,0.676,0.15,0.173,,1.17,0.707,1.022,,,15/08/2021,19:00
Sevilla,Vallecano,3,0,293.273,,,1.47,4.5,9.25,1,,0.431,0.49,0.08,,0.633,2.205,0.736,,0.731,0.134,0.135,,1.075,0.602,1.25,,,15/08/2021,21:15
Villarreal,Granada,0,0,135.64536,,,1.59,4.3,6.75,2,,0.352,0.487,0.161,,0.559,2.096,1.087,,0.516,0.248,0.236,,0.82,1.065,1.595,,,16/08/2021,19:00
Elche,AthBilbao,0,0,-54.4335000000001,,,3.9,3.25,2.25,2,,0.224,0.47,0.306,,0.873,1.528,0.689,,0.249,0.411,0.34,,0.97,1.336,0.766,,,16/08/2021,21:00
Betis,Cadiz,1,1,169.90679,,,1.53,4.35,7.1,2,,0.372,0.489,0.14,,0.569,2.126,0.992,,0.58,0.202,0.218,,0.887,0.879,1.548,,,20/08/2021,20:00
Alaves,Mallorca,0,1,103.383597255744,,,2.3,3.2,3.7,3,,0.331,0.486,0.183,,0.762,1.555,0.676,,0.453,0.298,0.25,,1.041,0.952,0.924,,,21/08/2021,16:00
Espanol,Villarreal,0,0,-87.07788,,,2.95,3.3,2.75,2,,0.202,0.464,0.334,,0.596,1.532,0.918,,0.225,0.404,0.371,,0.663,1.333,1.021,,,21/08/2021,18:30
Granada,Valencia,1,1,70.94947,,,2.4,3.4,3.35,2,,0.31,0.484,0.206,,0.744,1.646,0.69,,0.394,0.345,0.262,,0.945,1.172,0.877,,,21/08/2021,18:30
AthBilbao,Barcelona,1,1,-169.09073,,,4.75,4.2,1.82,2,,0.153,0.442,0.405,,0.727,1.857,0.737,,0.175,0.363,0.462,,0.83,1.525,0.841,,,21/08/2021,21:00
