Marseille,Reims,0,2,,,,,,,3
Montpellier,Rennes,0,1,,,,,,,3
Brest,Toulouse,1,1,,,,,,,2
Monaco,Lyon,0,3,,,,,,,3
Nice,Amiens,2,1,,,,,,,1
Angers,Bordeaux,3,1,,,,,,,1
Dijon,SaintEtienne,1,2,,,,,,,3
PSG,Nimes,3,0,,,,,,,1
Lille,Nantes,2,1,,,,,,,1
Nantes,Marseille,0,0,,,,,,,2
Strasbourg,Metz,1,1,,,,,,,2
Lyon,Angers,6,0,,,,,,,1
Toulouse,Dijon,1,0,,,,,,,1
Bordeaux,Montpellier,1,1,,,,,,,2
Nimes,Nice,1,2,,,,,,,3
Metz,Monaco,3,0,,,,,,,1
Reims,Strasbourg,0,0,,,,,,,2
Amiens,Lille,1,0,,,,,,,1
SaintEtienne,Brest,1,1,,,,,,,2
Rennes,PSG,2,1,,,,,,,1
Brest,Reims,1,0,,,,,,,1
Dijon,Bordeaux,0,2,,,,,,,3
Amiens,Nantes,1,2,,,,,,,3
Monaco,Nimes,2,2,,,,,,,2
Angers,Metz,3,0,,,,,,,1
Strasbourg,Rennes,0,2,,,,,,,3
Montpellier,Lyon,1,0,,,,,,,1
Lille,SaintEtienne,3,0,,,,,,,1
PSG,Toulouse,4,0,,,,,,,1
Nice,Marseille,1,2,,,,,,,3
Lyon,Bordeaux,1,1,,,,,,,2
Toulouse,Amiens,2,0,,,,,,,1
Metz,PSG,0,2,,,,,,,3
Angers,Dijon,2,0,,,,,,,1
Nantes,Montpellier,1,0,,,,,,,1
Nimes,Brest,3,0,,,,,,,1
Rennes,Nice,1,2,,,,,,,3
Reims,Lille,2,0,,,,,,,1
Strasbourg,Monaco,2,2,,,,,,,2
Marseille,SaintEtienne,1,0,,,,,,,1
Amiens,Lyon,2,2,,,,,,,2
PSG,Strasbourg,1,0,,,,,,,1
Montpellier,Nice,2,1,,,,,,,1
Brest,Rennes,0,0,,,,,,,2
Lille,Angers,2,1,,,,,,,1
