Lille,Rennes,1,1,None,None,None,2020-08-22T19:00:00Z
Lorient,Strasbourg,3,1,None,None,None,2020-08-23T13:00:00Z
Bordeaux,Nantes,0,0,None,None,None,2020-08-21T17:00:00Z
Monaco,Reims,2,2,None,None,None,2020-08-23T11:00:00Z
Nimes,Brest,4,0,None,None,None,2020-08-23T13:00:00Z
Lyon,Dijon,4,1,None,None,None,2020-08-28T19:00:00Z
Dijon,Angers,0,1,None,None,None,2020-08-22T15:00:00Z
Strasbourg,Nice,0,2,None,None,None,2020-08-29T19:00:00Z
Nice,Lens,2,1,None,None,None,2020-08-23T15:00:00Z
SaintEtienne,Lorient,2,0,None,None,None,2020-08-30T13:00:00Z
Reims,Lille,0,1,None,None,None,2020-08-30T11:00:00Z
Rennes,Montpellier,2,1,None,None,None,2020-08-29T15:00:00Z
Metz,Monaco,0,1,None,None,None,2020-08-30T13:00:00Z
Brest,Marseille,2,3,None,None,None,2020-08-30T19:00:00Z
Nantes,Nimes,2,1,None,None,None,2020-08-30T13:00:00Z
Angers,Bordeaux,0,2,None,None,None,2020-08-30T13:00:00Z
Lens,PSG,1,0,None,None,None,2020-09-10T19:00:00Z
Bordeaux,Lyon,0,0,None,None,None,2020-09-11T19:00:00Z
Montpellier,Nice,3,1,None,None,None,2020-09-12T15:00:00Z
SaintEtienne,Strasbourg,2,0,None,None,None,2020-09-12T19:00:00Z
Lille,Metz,1,0,None,None,None,2020-09-13T11:00:00Z
Lorient,Lens,2,3,None,None,None,2020-09-13T13:00:00Z
Angers,Reims,1,0,None,None,None,2020-09-13T13:00:00Z
Dijon,Brest,0,2,None,None,None,2020-09-13T13:00:00Z
Nimes,Rennes,2,4,None,None,None,2020-09-13T13:00:00Z
PSG,Marseille,0,1,None,None,None,2020-09-13T19:00:00Z
Monaco,Nantes,2,1,None,None,None,2020-09-13T15:00:00Z
Montpellier,Lyon,2,1,None,None,None,2020-09-15T19:00:00Z
Marseille,SaintEtienne,0,2,None,None,None,2020-09-17T19:00:00Z
Lyon,Nimes,0,0,None,None,None,2020-09-18T19:00:00Z
PSG,Metz,1,0,None,None,None,2020-09-16T19:00:00Z
Lens,Bordeaux,2,1,None,None,None,2020-09-19T15:00:00Z
Nice,PSG,0,3,None,None,None,2020-09-20T11:00:00Z
Rennes,Monaco,2,1,None,None,None,2020-09-19T19:00:00Z
Montpellier,Angers,4,1,None,None,None,2020-09-20T13:00:00Z
Brest,Lorient,3,2,None,None,None,2020-09-20T13:00:00Z
Metz,Reims,2,1,None,None,None,2020-09-20T13:00:00Z
Strasbourg,Dijon,1,0,None,None,None,2020-09-20T13:00:00Z
Nantes,SaintEtienne,2,2,None,None,None,2020-09-20T15:00:00Z
Marseille,Lille,1,1,None,None,None,2020-09-20T19:00:00Z
SaintEtienne,Rennes,0,3,None,None,None,2020-09-26T15:00:00Z
Marseille,Metz,1,1,None,None,None,2020-09-26T19:00:00Z
Lille,Nantes,2,0,None,None,None,2020-09-25T19:00:00Z
Bordeaux,Nice,0,0,None,None,None,2020-09-27T11:00:00Z
Angers,Brest,3,2,None,None,None,2020-09-27T13:00:00Z
Monaco,Strasbourg,3,2,None,None,None,2020-09-27T13:00:00Z
Dijon,Montpellier,2,2,None,None,None,2020-09-27T13:00:00Z
Nimes,Lens,1,1,None,None,None,2020-09-27T13:00:00Z
Reims,PSG,0,2,None,None,None,2020-09-27T19:00:00Z
Nice,Nantes,2,1,None,None,None,2020-10-03T19:00:00Z
Lens,SaintEtienne,2,0,None,None,None,2020-10-03T15:00:00Z
Lorient,Lyon,1,1,None,None,None,2020-09-27T15:00:00Z
Montpellier,Nimes,0,1,None,None,None,2020-10-04T11:00:00Z
PSG,Angers,6,1,None,None,None,2020-10-02T19:00:00Z
Brest,Monaco,1,0,None,None,None,2020-10-04T13:00:00Z
Bordeaux,Dijon,3,0,None,None,None,2020-10-04T13:00:00Z
Rennes,Reims,2,2,None,None,None,2020-10-04T15:00:00Z
Lyon,Marseille,1,1,None,None,None,2020-10-04T19:00:00Z
Dijon,Rennes,1,1,None,None,None,2020-10-16T17:00:00Z
Nimes,PSG,0,4,None,None,None,2020-10-16T19:00:00Z
Strasbourg,Lille,0,3,None,None,None,2020-10-04T13:00:00Z
Strasbourg,Lyon,2,3,None,None,None,2020-10-18T11:00:00Z
Marseille,Bordeaux,3,1,None,None,None,2020-10-17T19:00:00Z
Angers,Metz,1,1,None,None,None,2020-10-18T13:00:00Z
Monaco,Montpellier,1,1,None,None,None,2020-10-18T13:00:00Z
Nantes,Brest,3,1,None,None,None,2020-10-18T13:00:00Z
Metz,Lorient,3,1,None,None,None,2020-10-04T13:00:00Z
SaintEtienne,Nice,1,3,None,None,None,2020-10-18T15:00:00Z
Rennes,Angers,1,2,None,None,None,2020-10-23T19:00:00Z
Lorient,Marseille,0,1,None,None,None,2020-10-24T15:00:00Z
Lille,Lens,4,0,None,None,None,2020-10-18T19:00:00Z
PSG,Dijon,4,0,None,None,None,2020-10-24T19:00:00Z
