Rank,Club,Country,Level,Elo,From,To
1,Man City,ENG,1,2006.81604004,2021-05-30,2021-08-15
2,Bayern,GER,1,2004.35095215,2021-05-23,2021-08-13
3,Liverpool,ENG,1,1935.32507324,2021-05-27,2021-08-14
4,Real Madrid,ESP,1,1934.65454102,2021-05-27,2021-08-14
5,Man United,ENG,1,1921.38476562,2021-05-27,2021-08-14
6,Chelsea,ENG,1,1915.9173584,2021-05-30,2021-08-14
7,Barcelona,ESP,1,1911.23254395,2021-05-30,2021-08-15
8,Inter,ITA,1,1896.83618164,2021-05-24,2021-08-16
9,Atletico,ESP,1,1893.09924316,2021-05-27,2021-08-15
10,Arsenal,ENG,1,1861.50476074,2021-05-27,2021-08-13
11,Paris SG,FRA,1,1855.69238281,2021-05-24,2021-08-07
12,Juventus,ITA,1,1854.79541016,2021-05-24,2021-08-16
13,Sevilla,ESP,1,1844.66137695,2021-05-27,2021-08-15
14,Dortmund,GER,1,1844.35424805,2021-05-27,2021-08-14
15,Atalanta,ITA,1,1835.75512695,2021-05-24,2021-08-16
16,Tottenham,ENG,1,1827.81494141,2021-05-27,2021-08-15
17,Villarreal,ESP,1,1818.88012695,2021-05-27,2021-08-16
18,RB Leipzig,GER,1,1818.24804688,2021-05-27,2021-08-15
19,Ajax,NED,1,1810.75842285,2021-07-23,2021-08-14
20,West Ham,ENG,1,1806.24963379,2021-05-27,2021-08-15
21,Napoli,ITA,1,1802.64001465,2021-05-24,2021-08-16
22,Milan,ITA,1,1798.9083252,2021-05-27,2021-08-16
23,Leicester,ENG,1,1798.47009277,2021-05-27,2021-08-14
24,Porto,POR,1,1788.22644043,2021-07-23,2021-08-16
25,Leeds,ENG,1,1779.0871582,2021-05-27,2021-08-14
26,Wolfsburg,GER,1,1770.3092041,2021-05-24,2021-08-14
27,Everton,ENG,1,1766.36584473,2021-05-27,2021-08-14
28,Frankfurt,GER,1,1761.18566895,2021-05-23,2021-08-14
29,Sociedad,ESP,1,1758.60778809,2021-05-27,2021-08-15
30,Salzburg,AUT,1,1751.38977051,2021-07-24,2021-08-01
31,Gladbach,GER,1,1749.68603516,2021-07-24,2021-08-13
32,Lille,FRA,1,1745.88012695,2021-07-21,2021-08-08
33,Aston Villa,ENG,1,1742.52661133,2021-05-27,2021-08-14
34,Leverkusen,GER,1,1737.68200684,2021-05-24,2021-08-14
35,Betis,ESP,1,1737.65539551,2021-05-27,2021-08-14
36,Roma,ITA,1,1736.02636719,2021-05-24,2021-08-16
37,Benfica,POR,1,1734.07409668,2021-07-23,2021-08-16
38,Wolves,ENG,1,1733.94189453,2021-07-23,2021-08-14
39,Lyon,FRA,1,1732.04284668,2021-05-24,2021-08-07
40,Lazio,ITA,1,1730.73168945,2021-05-24,2021-08-16
41,Newcastle,ENG,1,1720.25476074,2021-05-27,2021-08-15
42,Celta,ESP,1,1718.63415527,2021-05-27,2021-08-15
43,Brighton,ENG,1,1716.17980957,2021-05-27,2021-08-14
44,Slavia Praha,CZE,1,1713.22473145,2021-07-26,2021-07-30
45,Sporting,POR,1,1711.0423584,2021-07-23,2021-08-16
46,Bilbao,ESP,1,1706.76269531,2021-07-17,2021-08-16
47,Burnley,ENG,1,1704.72229004,2021-07-17,2021-08-14
48,Rangers,SCO,1,1703.15429688,2021-07-23,2021-07-31
49,Shakhtar,UKR,1,1698.49365234,2021-07-25,2021-08-16
50,Valencia,ESP,1,1698.11645508,2021-07-25,2021-08-13
51,Young Boys,SUI,1,1696.58337402,2021-07-25,2021-07-28
52,Southampton,ENG,1,1696.19885254,2021-07-25,2021-08-14
53,Sassuolo,ITA,1,1696.1953125,2021-07-25,2021-08-16
54,Monaco,FRA,1,1695.94372559,2021-07-25,2021-08-06
55,Hoffenheim,GER,1,1692.66809082,2021-07-23,2021-08-14
56,Dinamo Zagreb,CRO,1,1692.23730469,2021-07-24,2021-07-27
57,Crystal Palace,ENG,1,1688.4720459,2021-07-23,2021-08-14
58,Olympiakos,GRE,1,1687.6427002,2021-07-23,2021-07-28
59,Union Berlin,GER,1,1685.80932617,2021-07-21,2021-08-14
60,Osasuna,ESP,1,1682.31628418,2021-05-27,2021-08-14
61,Freiburg,GER,1,1677.82897949,2021-05-23,2021-08-14
62,Zenit,RUS,1,1672.48461914,2021-07-25,2021-08-01
63,Granada,ESP,1,1670.90820312,2021-07-25,2021-08-16
64,Watford,ENG,1,1668.75610352,2021-07-25,2021-08-14
65,Brentford,ENG,1,1667.03649902,2021-07-22,2021-08-13
66,PSV,NED,1,1666.95080566,2021-07-23,2021-07-28
67,Getafe,ESP,1,1666.0760498,2021-07-23,2021-08-13
68,Mainz,GER,1,1662.14685059,2021-07-22,2021-08-15
69,Levante,ESP,1,1661.8605957,2021-07-22,2021-08-14
70,Alkmaar,NED,1,1658.18579102,2021-07-23,2021-08-14
71,Norwich,ENG,1,1650.73791504,2021-07-03,2021-08-14
72,Espanyol,ESP,2,1645.80419922,2021-07-03,2021-08-14
73,Stuttgart,GER,1,1645.0032959,2021-07-03,2021-08-14
